nct_id,brief_title,sponsor,start_date,primary_outcomes,start_year,period,outcome_categories,num_categories
NCT04458701,Prospective Data Analysis of a Quality Improvement Initiative in High Risk Cardiac Surgery Patients,Loma Linda University,2019-01-17,Length of Stay,2019,2015-2019,Length of stay,1
NCT05707234,Virtual Reality Hypnosis in Total Knee Arthroplasty Under Spinal Anesthesia,University of Liege,2023-02-15,Midazolam milligrams,2023,2020-2025,Sedation / anesthesia depth,1
NCT03587532,Assessment of Graft Perfusion and Oxygenation for Improved Outcome in Esophageal Cancer Surgery,"University Hospital, Ghent",2021-12-13,An ICGA based cutoff point to predict anastomotic leakage and graft necrosis after esophageal reconstructive surgery.,2021,2020-2025,Postoperative complications,1
NCT03169127,Clinical Pharmacogenetic of Ibuprofen After Lower Third Molar Surgeries,University of Sao Paulo,2016-04-01,Evaluation of changes in the postsurgical pain during the first 24 hours until 96 hours after the procedure | Quality of anesthesia | Intraoperative bleeding during the surgeries steps | Blood pressure variability during the surgeries steps | Heart rate variability during the surgeries steps | Oxygen saturation variability during the surgeries steps | Subjective evaluation of postsurgical pain at the moment of the rescue medication utilization,2016,2015-2019,Hypotension exposure; Cardiac outcomes; Blood loss / transfusion; Pain,4
NCT03039946,Automated Closed-Loop Versus Restrictive Fluid Therapy in Abdominal Surgery,Erasme University Hospital,2017-01,Preload independent state,2017,2015-2019,Cardiac outcomes,1
NCT07240688,Association Between Lingual Retraction and Hemodynamic Changes in Patients Receiving Dental Treatment Under General Anesthesia,Kırıkkale University,2025-10-13,Hemodynamic Changes Associated with Lingual Retraction,2025,2020-2025,,0
NCT05253209,A Study Evaluating the Efficacy and Safety of IV L-Citrulline for the Prevention of Clinical Sequelae of Acute Lung Injury Induced by Cardiopulmonary Bypass in Pediatric Patients Undergoing Surgery for Congenital Heart Defects,"Asklepion Pharmaceuticals, LLC",2022-06-29,Post-operative need for mechanical ventilation,2022,2020-2025,,0
NCT07266727,Anesthetic Agent Titration With EEG Wave Analysis,Marmara University,2025-03-04,Postoperative Recovery Quality,2025,2020-2025,,0
NCT07270341,Evaluation of Cerebral Oxygenation During Orthopedic Surgeries Performed in the Beach Chair Position Under General Anesthesia,Akdeniz University,2024-10-01,Correlation Between Cerebral Oxygenation (rSO₂) Measured by NIRS and Systemic Oxygenation | Correlation Between Cerebral Oxygenation (rSO₂) Measured by NIRS and Hemodynamic Parameters (Heart Rate and Blood Pressure),2024,2020-2025,Hypotension exposure; Cardiac outcomes,2
NCT07135700,Hemodynamic Evaluation and Assessment of DIRECT myocaRdial and Sublingual Capillary Perfusion in Thoracic Surgery Patients on Cardiopulmonary Bypass,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),2025-10-01,TVD (Total Vessel Density) | PVD (Perfused Vessel Density) | PVD (Perfused Vessel Density) | MFI (Microvascular Flow Index) | HI (Heterogenity Index),2025,2020-2025,,0
